subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
1, practice,1, vibration during choice,1,1,4, 9.jpg, 12.jpg,0.511076546,0.466504194,0.466504194, left,1,4,1, 12.jpg, 9.jpg,3.5166904,1,0.511076546,0.615232533,0.413504079,0.466504194,1
1, practice,1, vibration during choice,2,1,3, 9.jpg, 11.jpg,0.517796443,0.375335495,0.517796443, right,2,1,3, 9.jpg, 11.jpg,1.8658108,1,0.517796443,0.631199867,0.375335495,0.47234587,0
1, practice,1, vibration during choice,3,3,4, 11.jpg, 12.jpg,0.374984468,0.491193418,0.491193418, left,1,4,3, 12.jpg, 11.jpg,1.9986494,1,0.498939688,0.626315633,0.374984468,0.491193418,0
1, practice,1, vibration during choice,4,1,2, 9.jpg, 10.jpg,0.498193315,0.609226527,0.498193315, right,2,1,2, 9.jpg, 10.jpg,1.9144186,1,0.498193315,0.609226527,0.371343772,0.486122834,1
1, practice,1, vibration during choice,5,3,2, 11.jpg, 10.jpg,0.35386843,0.620106582,0.35386843, right,2,3,2, 11.jpg, 10.jpg,1.3287681,1,0.472267853,0.620106582,0.35386843,0.463675252,0
1, test,1, vibration during choice,1,4,1, 12.jpg, 9.jpg,0.466504194,0.511076546,0.466504194, right,2,4,1, 12.jpg, 9.jpg,1.3604847,1,0.511076546,0.615232533,0.413504079,0.466504194,1
1, test,1, vibration during choice,2,3,1, 11.jpg, 9.jpg,0.375335495,0.517796443,0.517796443, left,1,1,3, 9.jpg, 11.jpg,2.1335694,1,0.517796443,0.631199867,0.375335495,0.47234587,1
1, test,1, vibration during choice,3,1,2, 9.jpg, 10.jpg,0.498939688,0.626315633,0.626315633, left,1,2,1, 10.jpg, 9.jpg,1.7715851,1,0.498939688,0.626315633,0.374984468,0.491193418,0
1, test,1, vibration during choice,4,3,4, 11.jpg, 12.jpg,0.371343772,0.486122834,0.371343772, right,2,3,4, 11.jpg, 12.jpg,2.681043,1,0.498193315,0.609226527,0.371343772,0.486122834,1
1, test,1, vibration during choice,5,2,1, 10.jpg, 9.jpg,0.620106582,0.472267853,0.620106582, right,2,2,1, 10.jpg, 9.jpg,3.5046516,1,0.472267853,0.620106582,0.35386843,0.463675252,1
